year,name,count
2007,United States of America,458610
2007,Argentina,5970
2007,Brazil,20020
2007,Chile,8310
2007,Colombia,4410
2007,Mexico,7220
2007,South Africa,61630
2008,New Zealand,1104680
2008,New Caledonia,45880
2008,Papua New Guinea,38160
2008,Vanuatu,7720
2008,Fiji,27230
2008,United Kingdom,696220
2008,Ireland,71130
2008,Austria,17900
2008,Belgium,15060
2008,France,93590
2008,Germany,165870
2008,Netherlands,58100
2008,Switzerland,42310
2008,Denmark,25370
2008,Finland,11890
2008,Norway,18590
2008,Sweden,36530
2008,Italy,61750
2008,Spain,27520
2008,Poland,11110
2008,Russia,13700
2008,Iran,4830
2008,Israel,16510
2008,Saudi Arabia,9920
2008,United Arab Emirates,32470
2008,Cambodia,4460
2008,Thailand,71480
2008,Vietnam,31610
2008,Indonesia,94970
2008,Malaysia,165690
2008,Philippines,52090
2008,Singapore,230920
2008,China,354360
2008,Hong Kong,131530
2008,Taiwan,78090
2008,Japan,455560
2008,South Korea,222820
2008,Bangladesh,3780
2008,India,108830
2008,Nepal,2540
2008,Pakistan,5030
2008,Sri Lanka,12980
2008,Canada,135230
2008,United States of America,462820
2008,Argentina,5650
2008,Brazil,26110
2008,Chile,10360
2008,Colombia,6050
2008,Mexico,7740
2008,South Africa,67420
2009,New Zealand,1099910
2009,New Caledonia,45950
2009,Papua New Guinea,42840
2009,Vanuatu,9370
2009,Fiji,29920
2009,United Kingdom,684590
2009,Ireland,65230
2009,Austria,17500
2009,Belgium,16270
2009,France,101950
2009,Germany,165360
2009,Netherlands,55130
2009,Switzerland,46630
2009,Denmark,25160
2009,Finland,12610
2009,Norway,18600
2009,Sweden,34750
2009,Italy,57750
2009,Spain,23090
2009,Poland,8940
2009,Russia,13420
2009,Iran,5180
2009,Israel,14830
2009,Saudi Arabia,12210
2009,United Arab Emirates,30110
2009,Cambodia,5350
2009,Thailand,73740
2009,Vietnam,33490
2009,Indonesia,107190
2009,Malaysia,204200
2009,Philippines,52170
2009,Singapore,246490
2009,China,362690
